"PhotoID","Depth","PhotoArea","Year","Depth_flag","PhotoArea_flag"
"CA1968_110_01",110,0.86,1968,NA,NA
"CA1968_110_02",110,1.051,1968,NA,NA
"CA1968_110_03",110,0.863,1968,NA,NA
"CA1968_110_04",110,0.651,1968,NA,NA
"CA1968_110_05",110,1.493,1968,NA,"I"
"CA1968_110_06",110,1.478,1968,NA,NA
"CA1968_110_07",110,1.591,1968,NA,NA
"CA1968_110_08",110,1.145,1968,"H",NA
"CA1968_130_01",130,2.341,1968,"G",NA
"CA1968_130_02",130,1.923,1968,NA,NA
"CA1968_130_03",130,1.226,1968,NA,NA
"CA1968_130_04",130,3.42,1968,NA,NA
"CA1968_130_05",130,3.673,1968,NA,NA
"CA1968_130_06",130,1.064,1968,NA,NA
"CA1968_130_07",130,1.779,1968,NA,NA
"CA1968_130_08",130,2.086,1968,NA,NA
"CA1968_140_01",140,2.489,1968,NA,NA
"CA1968_140_02",140,2.904,1968,NA,NA
"CA1968_140_03",140,2.991,1968,NA,NA
"CA1968_140_04",140,3.149,1968,NA,NA
"CA1968_140_05",140,4.546,1968,NA,NA
"CA1968_140_06",140,3.128,1968,NA,NA
"CA1968_140_07",140,1.97,1968,NA,NA
"CA1968_140_08",140,3.56,1968,NA,NA
"CA1968_140_09",140,2.446,1968,NA,"I"
"CA1968_140_10",140,2.159,1968,NA,NA
"CA1968_140_11",140,2.032,1968,"G","J"
"CA1968_150_01",150,2.523,1968,NA,NA
"CA1968_150_02",150,1.397,1968,NA,NA
"CA1968_150_03",150,0.979,1968,NA,NA
"CA1968_150_04",150,1.694,1968,NA,NA
"CA1968_150_05",150,2.08,1968,"H",NA
"CA1968_150_06",150,2.165,1968,NA,NA
"CA1968_150_07",150,3.35,1968,NA,NA
"CA1968_150_08",150,2.782,1968,NA,NA
"CA1968_150_09",150,2.383,1968,NA,NA
"CA1968_150_10",150,1.575,1968,NA,NA
"CA1968_160_01",160,1.023,1968,NA,NA
"CA1968_160_02",160,1.571,1968,NA,NA
"CA1968_160_03",160,0.694,1968,NA,NA
"CA1968_160_04",160,1.898,1968,NA,NA
"CA1968_160_05",160,1.783,1968,NA,NA
"CA1968_160_06",160,1.94,1968,NA,NA
"CA1968_160_07",160,1.33,1968,NA,NA
"CA1968_160_08",160,0.949,1968,NA,NA
"CA1968_160_09",160,1.547,1968,"H",NA
"CA1968_160_10",160,1.653,1968,NA,NA
"CA1968_170_01",170,1.714,1968,NA,NA
"CA1968_170_02",170,2.267,1968,NA,NA
"CA1968_170_03",170,2.533,1968,NA,NA
"CA1968_170_04",170,3.1,1968,NA,NA
"CA1968_180_01",180,2.835,1968,NA,NA
"CA1968_180_02",180,2.114,1968,NA,NA
"CA1968_180_03",180,2.174,1968,NA,NA
"CA1968_180_04",180,1.759,1968,NA,NA
"CA1968_180_05",180,3.763,1968,NA,NA
"CA1968_180_06",180,1.832,1968,NA,NA
"CA1968_180_07",180,2.244,1968,NA,NA
"CA1968_190_01",190,1.638,1968,NA,"J"
"CA1968_190_02",190,2.151,1968,NA,NA
"CA1968_190_03",190,2.012,1968,NA,NA
"CA1968_190_04",190,4.076,1968,NA,NA
"CA1968_190_05",190,2.801,1968,NA,NA
"CA1968_190_06",190,2.33,1968,NA,NA
"CA1968_190_07",190,1.721,1968,NA,NA
"CA1968_190_08",190,1.503,1968,NA,"J"
"CA1968_190_09",190,2.988,1968,"H",NA
"CA1968_200_01",200,1.938,1968,"G",NA
"CA1968_200_02",200,4.123,1968,NA,NA
"CA1968_200_03",200,3.005,1968,NA,NA
"CA1968_200_04",200,3.536,1968,NA,NA
"CA1968_200_05",200,3.511,1968,NA,NA
"CA1968_200_06",200,4.231,1968,NA,NA
"CA1968_200_07",200,5.967,1968,NA,NA
"CA1968_200_08",200,4.187,1968,NA,NA
"CA1968_200_09",200,3.645,1968,NA,NA
"CA1968_200_10",200,1.481,1968,NA,NA
"CA1968_210_01",210,0.712,1968,NA,NA
"CA1968_210_02",210,1.221,1968,NA,NA
"CA1968_210_03",210,3.23,1968,NA,NA
"CA1968_220_01",220,0.542,1968,NA,NA
"CA1968_230_01",230,0.623,1968,NA,NA
"CA1968_230_02",230,1.071,1968,NA,NA
"CA1968_230_03",230,1.422,1968,NA,NA
"CA1968_240_01",240,1.947,1968,NA,NA
"CA1968_240_02",240,1.682,1968,NA,NA
"CA1968_240_03",240,0.37,1968,NA,NA
"CA1968_240_04",240,2.65,1968,NA,NA
"CA1968_240_05",240,2.106,1968,NA,NA
"CA1968_240_06",240,3.755,1968,NA,NA
"CA1968_250_01",250,0.554,1968,NA,NA
"CA1968_260_01",260,0.974,1968,NA,NA
"CA1968_260_02",260,1.45,1968,NA,NA
"CA1968_260_03",260,1.956,1968,NA,NA
"CA1968_270_01",270,3.144,1968,NA,NA
"CA1968_270_02",270,2.797,1968,NA,NA
"CA1968_270_03",270,0.816,1968,NA,NA
"CA1968_280_01",270,1.139,1968,NA,NA
"CA1968_280_02",280,1.133,1968,NA,NA
"CA1968_280_03",280,2.808,1968,NA,NA
"CA1968_290_01",290,0.672,1968,NA,NA
"CA1968_290_02",290,4.46,1968,NA,NA
"CA1968_290_03",290,3.886,1968,NA,NA
"CA1968_300_01",300,0.815,1968,NA,NA
"CA1968_300_02",300,1.402,1968,NA,NA
"CA1968_310_01",310,2.026,1968,NA,"I"
"CA1968_310_02",310,1.726,1968,NA,NA
"CA1968_310_03",310,0.749,1968,NA,NA
"CA1968_320_01",320,1.738,1968,NA,NA
"CA1968_320_02",320,1.551,1968,NA,NA
"CA1968_320_03",320,0.686,1968,NA,NA
"CA1968_330_01",330,1.3,1968,NA,NA
"CA1968_330_02",330,1.879,1968,NA,NA
"CA1968_330_03",330,1.244,1968,NA,NA
"CA2010_110_01",110,0.86,2010,NA,NA
"CA2010_110_02",110,1.051,2010,NA,NA
"CA2010_110_03",110,0.863,2010,NA,"I"
"CA2010_110_04",110,0.651,2010,NA,NA
"CA2010_110_05",110,1.493,2010,NA,NA
"CA2010_110_06",110,1.478,2010,NA,NA
"CA2010_110_07",110,1.591,2010,NA,NA
"CA2010_110_08",110,1.145,2010,NA,NA
"CA2010_130_01",130,2.341,2010,NA,NA
"CA2010_130_02",130,1.923,2010,NA,NA
"CA2010_130_03",130,1.226,2010,NA,NA
"CA2010_130_04",130,3.42,2010,NA,NA
"CA2010_130_05",130,3.673,2010,NA,NA
"CA2010_130_06",130,1.064,2010,NA,NA
"CA2010_130_07",130,1.779,2010,NA,NA
"CA2010_130_08",130,2.086,2010,NA,NA
"CA2010_140_01",140,2.489,2010,NA,NA
"CA2010_140_02",140,2.904,2010,NA,NA
"CA2010_140_03",140,2.991,2010,NA,NA
"CA2010_140_04",140,3.149,2010,NA,"J"
"CA2010_140_05",140,4.546,2010,NA,NA
"CA2010_140_06",140,3.128,2010,NA,NA
"CA2010_140_07",140,1.97,2010,NA,NA
"CA2010_140_08",140,3.56,2010,NA,NA
"CA2010_140_09",140,2.446,2010,NA,NA
"CA2010_140_10",140,2.159,2010,NA,NA
"CA2010_140_11",140,2.032,2010,NA,"I"
"CA2010_150_01",150,2.523,2010,NA,"J"
"CA2010_150_02",150,1.397,2010,NA,NA
"CA2010_150_03",150,0.979,2010,NA,NA
"CA2010_150_04",150,1.694,2010,NA,NA
"CA2010_150_05",150,2.08,2010,NA,"I"
"CA2010_150_06",150,2.165,2010,NA,NA
"CA2010_150_07",150,3.35,2010,NA,NA
"CA2010_150_08",150,2.782,2010,NA,NA
"CA2010_150_09",150,2.383,2010,NA,NA
"CA2010_150_10",150,1.575,2010,NA,NA
"CA2010_160_01",160,1.023,2010,NA,NA
"CA2010_160_02",160,1.571,2010,NA,NA
"CA2010_160_03",160,0.694,2010,NA,NA
"CA2010_160_04",160,1.898,2010,NA,NA
"CA2010_160_05",160,1.783,2010,NA,NA
"CA2010_160_06",160,1.94,2010,NA,NA
"CA2010_160_07",160,1.33,2010,NA,NA
"CA2010_160_08",160,0.949,2010,NA,NA
"CA2010_160_09",160,1.547,2010,NA,NA
"CA2010_160_10",160,1.653,2010,NA,NA
"CA2010_170_01",170,1.714,2010,NA,NA
"CA2010_170_02",170,2.267,2010,NA,NA
"CA2010_170_03",170,2.533,2010,NA,NA
"CA2010_170_04",170,3.1,2010,NA,NA
"CA2010_180_01",180,2.835,2010,"H",NA
"CA2010_180_02",180,2.114,2010,NA,"J"
"CA2010_180_03",180,2.174,2010,NA,NA
"CA2010_180_04",180,1.759,2010,NA,NA
"CA2010_180_05",180,3.763,2010,NA,NA
"CA2010_180_06",180,1.832,2010,NA,NA
"CA2010_180_07",180,2.244,2010,NA,NA
"CA2010_190_01",190,1.638,2010,NA,NA
"CA2010_190_02",190,2.151,2010,NA,NA
"CA2010_190_03",190,2.012,2010,NA,NA
"CA2010_190_04",190,4.076,2010,NA,NA
"CA2010_190_05",190,2.801,2010,NA,NA
"CA2010_190_06",190,2.33,2010,NA,NA
"CA2010_190_07",190,1.721,2010,"G",NA
"CA2010_190_08",190,1.503,2010,NA,NA
"CA2010_190_09",190,2.988,2010,NA,NA
"CA2010_200_01",200,1.938,2010,NA,NA
"CA2010_200_02",200,4.123,2010,NA,NA
"CA2010_200_03",200,3.005,2010,NA,NA
"CA2010_200_04",200,3.536,2010,NA,"J"
"CA2010_200_05",200,3.511,2010,NA,NA
"CA2010_200_06",200,4.231,2010,NA,NA
"CA2010_200_07",200,5.967,2010,"G",NA
"CA2010_200_08",200,4.187,2010,NA,NA
"CA2010_200_09",200,3.645,2010,NA,NA
"CA2010_200_10",200,1.481,2010,NA,NA
"CA2010_210_01",210,0.712,2010,NA,NA
"CA2010_210_02",210,1.221,2010,NA,NA
"CA2010_210_03",210,3.23,2010,NA,NA
"CA2010_220_01",220,0.542,2010,NA,NA
"CA2010_230_01",230,0.623,2010,NA,NA
"CA2010_230_02",230,1.071,2010,NA,NA
"CA2010_230_03",230,1.422,2010,NA,NA
"CA2010_240_01",240,1.947,2010,NA,NA
"CA2010_240_02",240,1.682,2010,NA,NA
"CA2010_240_03",240,0.37,2010,NA,NA
"CA2010_240_04",240,2.65,2010,NA,NA
"CA2010_240_05",240,2.106,2010,"H",NA
"CA2010_240_06",240,3.755,2010,NA,NA
"CA2010_250_01",250,0.554,2010,"G",NA
"CA2010_260_01",260,0.974,2010,"G",NA
"CA2010_260_02",260,1.45,2010,NA,NA
"CA2010_260_03",260,1.956,2010,NA,NA
"CA2010_270_01",270,3.144,2010,NA,NA
"CA2010_270_02",270,2.797,2010,NA,NA
"CA2010_270_03",270,0.816,2010,NA,NA
"CA2010_280_01",270,1.139,2010,NA,NA
"CA2010_280_02",280,1.133,2010,NA,NA
"CA2010_280_03",280,2.808,2010,NA,NA
"CA2010_290_01",290,0.672,2010,NA,NA
"CA2010_290_02",290,4.46,2010,NA,NA
"CA2010_290_03",290,3.886,2010,NA,NA
"CA2010_300_01",300,0.815,2010,NA,NA
"CA2010_300_02",300,1.402,2010,NA,NA
"CA2010_310_01",310,2.026,2010,NA,NA
"CA2010_310_02",310,1.726,2010,NA,NA
"CA2010_310_03",310,0.749,2010,"H",NA
"CA2010_320_01",320,1.738,2010,"G",NA
"CA2010_320_02",320,1.551,2010,NA,NA
"CA2010_320_03",320,0.686,2010,NA,NA
"CA2010_330_01",330,1.3,2010,NA,NA
"CA2010_330_02",330,1.879,2010,NA,NA
"CA2010_330_03",330,1.244,2010,NA,NA
"CA2018_110_01",110,0.86,2018,NA,NA
"CA2018_110_02",110,1.051,2018,NA,NA
"CA2018_110_03",110,0.863,2018,NA,NA
"CA2018_110_04",110,0.651,2018,NA,NA
"CA2018_110_05",110,1.493,2018,NA,NA
"CA2018_110_06",110,1.478,2018,NA,NA
"CA2018_110_07",110,1.591,2018,NA,NA
"CA2018_110_08",110,1.145,2018,NA,NA
"CA2018_130_01",130,2.341,2018,NA,NA
"CA2018_130_02",130,1.923,2018,NA,NA
"CA2018_130_03",130,1.226,2018,NA,NA
"CA2018_130_04",130,3.42,2018,NA,"J"
"CA2018_130_05",130,3.673,2018,NA,NA
"CA2018_130_06",130,1.064,2018,"H",NA
"CA2018_130_07",130,1.779,2018,NA,NA
"CA2018_130_08",130,2.086,2018,NA,NA
"CA2018_140_01",140,2.489,2018,NA,NA
"CA2018_140_02",140,2.904,2018,NA,NA
"CA2018_140_03",140,2.991,2018,NA,NA
"CA2018_140_04",140,3.149,2018,NA,NA
"CA2018_140_05",140,4.546,2018,NA,NA
"CA2018_140_06",140,3.128,2018,NA,NA
"CA2018_140_07",140,1.97,2018,NA,NA
"CA2018_140_08",140,3.56,2018,NA,NA
"CA2018_140_09",140,2.446,2018,NA,NA
"CA2018_140_10",140,2.159,2018,NA,NA
"CA2018_140_11",140,2.032,2018,NA,NA
"CA2018_150_01",150,2.523,2018,NA,NA
"CA2018_150_02",150,1.397,2018,NA,NA
"CA2018_150_03",150,0.979,2018,NA,NA
"CA2018_150_04",150,1.694,2018,NA,NA
"CA2018_150_05",150,2.08,2018,NA,NA
"CA2018_150_06",150,2.165,2018,NA,"J"
"CA2018_150_07",150,3.35,2018,NA,NA
"CA2018_150_08",150,2.782,2018,NA,NA
"CA2018_150_09",150,2.383,2018,NA,NA
"CA2018_150_10",150,1.575,2018,NA,"I"
"CA2018_160_01",160,1.023,2018,NA,NA
"CA2018_160_02",160,1.571,2018,"H",NA
"CA2018_160_03",160,0.694,2018,NA,NA
"CA2018_160_04",160,1.898,2018,"G",NA
"CA2018_160_05",160,1.783,2018,NA,NA
"CA2018_160_06",160,1.94,2018,NA,NA
"CA2018_160_07",160,1.33,2018,NA,NA
"CA2018_160_08",160,0.949,2018,NA,NA
"CA2018_160_09",160,1.547,2018,NA,NA
"CA2018_160_10",160,1.653,2018,NA,NA
"CA2018_170_01",170,1.714,2018,NA,NA
"CA2018_170_02",170,2.267,2018,NA,NA
"CA2018_170_03",170,2.533,2018,NA,NA
"CA2018_170_04",170,3.1,2018,NA,NA
"CA2018_180_01",180,2.835,2018,NA,NA
"CA2018_180_02",180,2.114,2018,NA,NA
"CA2018_180_03",180,2.174,2018,NA,NA
"CA2018_180_04",180,1.759,2018,NA,NA
"CA2018_180_05",180,3.763,2018,NA,NA
"CA2018_180_06",180,1.832,2018,NA,NA
"CA2018_180_07",180,2.244,2018,NA,NA
"CA2018_190_01",190,1.638,2018,NA,NA
"CA2018_190_02",190,2.151,2018,NA,NA
"CA2018_190_03",190,2.012,2018,NA,NA
"CA2018_190_04",190,4.076,2018,NA,NA
"CA2018_190_05",190,2.801,2018,NA,NA
"CA2018_190_06",190,2.33,2018,NA,NA
"CA2018_190_07",190,1.721,2018,NA,NA
"CA2018_190_08",190,1.503,2018,NA,NA
"CA2018_190_09",190,2.988,2018,NA,NA
"CA2018_200_01",200,1.938,2018,NA,NA
"CA2018_200_02",200,4.123,2018,NA,NA
"CA2018_200_03",200,3.005,2018,NA,NA
"CA2018_200_04",200,3.536,2018,NA,NA
"CA2018_200_05",200,3.511,2018,NA,NA
"CA2018_200_06",200,4.231,2018,NA,NA
"CA2018_200_07",200,5.967,2018,NA,NA
"CA2018_200_08",200,4.187,2018,NA,"I"
"CA2018_200_09",200,3.645,2018,NA,NA
"CA2018_200_10",200,1.481,2018,NA,NA
"CA2018_210_01",210,0.712,2018,NA,NA
"CA2018_210_02",210,1.221,2018,NA,NA
"CA2018_210_03",210,3.23,2018,NA,NA
"CA2018_220_01",220,0.542,2018,NA,NA
"CA2018_230_01",230,0.623,2018,NA,NA
"CA2018_230_02",230,1.071,2018,NA,NA
"CA2018_230_03",230,1.422,2018,NA,NA
"CA2018_240_01",240,1.947,2018,NA,NA
"CA2018_240_02",240,1.682,2018,NA,NA
"CA2018_240_03",240,0.37,2018,NA,NA
"CA2018_240_04",240,2.65,2018,NA,NA
"CA2018_240_05",240,2.106,2018,NA,NA
"CA2018_240_06",240,3.755,2018,NA,NA
"CA2018_250_01",250,0.554,2018,NA,NA
"CA2018_260_01",260,0.974,2018,NA,NA
"CA2018_260_02",260,1.45,2018,NA,"I"
"CA2018_260_03",260,1.956,2018,NA,NA
"CA2018_270_01",270,3.144,2018,NA,NA
"CA2018_270_02",270,2.797,2018,NA,NA
"CA2018_270_03",270,0.816,2018,NA,NA
"CA2018_280_01",270,1.139,2018,NA,NA
"CA2018_280_02",280,1.133,2018,NA,NA
"CA2018_280_03",280,2.808,2018,NA,"J"
"CA2018_290_01",290,0.672,2018,NA,NA
"CA2018_290_02",290,4.46,2018,NA,NA
"CA2018_290_03",290,3.886,2018,NA,NA
"CA2018_300_01",300,0.815,2018,NA,NA
"CA2018_300_02",300,1.402,2018,NA,NA
"CA2018_310_01",310,2.026,2018,NA,NA
"CA2018_310_02",310,1.726,2018,NA,NA
"CA2018_310_03",310,0.749,2018,NA,NA
"CA2018_320_01",320,1.738,2018,"G",NA
"CA2018_320_02",320,1.551,2018,NA,NA
"CA2018_320_03",320,0.686,2018,NA,"I"
"CA2018_330_01",330,1.3,2018,"H",NA
"CA2018_330_02",330,1.879,2018,NA,NA
"CA2018_330_03",330,1.244,2018,NA,NA
